Ref,Label,Description,Translate,MaxChars,English,German,Spanish,French,Italian,Netherland,Danish,Swedish,Chinese,Polish,Japanese,Korean,Portuguese,Slovak,Russian,Hungarian,Bulgarian,Romanian,Czech,Turkish,Finnish,Greek,T-Chinese,Serbian,Slovenian,Thai,Polish UTF8
10,STI_ABORT_QUERY,Abort query,1,14,ABORT?,ANNUL?,CANCELAR?,ANNULER?,ANNUL?,AFBREKEN?,ANNULER?,ANNULERA?,中止？,PRZERWAC?,中止しますか？,취소할까요?,ABORTAR?,ZRUŠIŤ?,ОТМЕНИТЬ?,STOP?,,ANULARE?,ZRUŠIT?,DURDUR?,POISTU?,ΑΚΥΡΩΣΗ;,,PREKINI,PREKINI?,??????,PRZERWAC?
11,STI_CONFIGURE,"Configure outputs, relays, sensor, globals",1,15,CONFIGURE,KONFIGURIEREN,CONFIGURAR,CONFIGURATION,CONFIGURAZIONE,CONFIGUREREN,KONFIGURERING,KONFIGURERING,组态,USTAWIENIA,設定,설정,CONFIGURAR,KONFIGURÁCIA,НАСТРОЙКА,BEÁLLíTÁSOK,,CONFIGURARE,KONFIGURACE,KONFİGÜRE ET,KONFIGUROI,ΔΙΑΜΟΡΦΩΣΗ,,KONFIGURIŠI,NASTAVI,??????,USTAWIENIA
12,STI_CALIBRATE,Calibrate sensor and current outputs,1,14,CALIBRATE,KALIBRIEREN,CALIBRAR,ETALONNAGE,CALIBRAZIONE,KALIBREREN,KALIBRERING,KALIBRERA,校准,KALIBRACJA,校正,교정,CALIBRAR,KALIBRÁCIA,КАЛИБРОВКА,KALIBRÁLÁS,,CALIBRARE,KALIBRACE,KALİBRE ET,KALIBROI,ΒΑΘΜΟΝΟΜΗΣΗ,,KALIBRIŠI,KALIBRIRAJ,??????,KALIBRACJA
13,STI_DIAG_TEST,Diagnose / Test,1,15,DIAG/TEST,DIAG/TEST,DIAGNOSTICOS,DIAG/TEST,DIAG/TEST,DIAG/TEST,DIAG/TEST,DIAGNOS/TEST,诊断/测试,DIAGNOST/TEST,診断/テスト,진단/시험,TESTE/DIAG,DIAGNO/TEST,ДИАГНОСТИКА,DIAGN./TESZT,,DIAG/TEST,DIAGNOZA/TESTY,TANILAMA/TEST,DIAG/TESTI,ΔΙΑΓΝ/ΤΕΣΤ,,DIAGNOZA/TEST,DIAG/TEST,??????,DIAGNOST/TEST
14,STI_UNDEFINED,Not used in normal operation - DO NOT TRANSLATE,0,14,??????????????,??????????????,??????????????,??????????????,??????????????,??????????????,??????????????,??????????????,??????????????,??????????????,??????????????,??????????????,??????????????,??????????????,??????????????,??????????????,??????????????,??????????????,??????????????,??????????????,??????????????,??????????????,??????????????,??????????????,??????????????,??????,??????????????
15,STI_0MA,zero milliamps - DO NOT TRANSLATE,0,6,0-20mA,0-20mA,0-20mA,0-20mA,0-20mA,0-20mA,0-20mA,0-20mA,0-20mA,0-20mA,0-20mA,0-20mA,0-20mA,0-20mA,0-20mA,0-20mA,0-20mA,0-20mA,0-20mA,0-20mA,0-20mA,0-20mA,0-20mA,0-20mA,0-20mA,??????,0-20mA
16,STI_4MA,Four Milliamps - DO NOT TRANSLATE,0,6,4-20mA,4-20mA,4-20mA,4-20mA,4-20mA,4-20mA,4-20mA,4-20mA,4-20mA,4-20mA,4-20mA,4-20mA,4-20mA,4-20mA,4-20mA,4-20mA,4-20mA,4-20mA,4-20mA,4-20mA,4-20mA,4-20mA,4-20mA,4-20mA,4-20mA,??????,4-20mA
17,STI_999_9PERCENT,999.90%,1,7,999.90%,999.90%,999.90%,"999,90%","999,90%",999.90%,"999,90%","999,90%",999.90%,"999,90%",999.90%,999.90%,999.90%,999.90%,999.90%,999.90%,,"999,90%","999,90%","%999,90",999.90%,999.90%,,"999,90%",999.90%,??????,"999,90%"
18,STI_99_99PERCENT,99.99%,1,6,99.99%,99.99%,99.99%,"99,99%","99,99%",99.99%,"99,99%","99,99%",99.99%,"99,99%",99.99%,99.99%,99.99%,99.99%,99.99%,99.99%,,"99,99%","99,99%","%99,99",99.99%,99.99%,,"99,99%",99.99%,??????,"99,99%"
19,STI_A,The quantity A - DO NOT TRANSLATE,0,2,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,??????,A
20,STI_ABORT_NO,Do NOT abort the calibration process,1,14,ABORT: NO,ANNUL: NEIN,CANCELAR: NO,ANNULER: NON,NON ANNUL CAL,AFBREKEN: NEE,ANNULER.NEJ,ANNULERA:NEJ,中止: 不,PRZERWAC:TAK,中止:いいえ,취소: 아니오,ABORTAR: N�O,ZRUŠIŤ: NIE,ОТМЕНА: НЕТ,STOP: NEM,,ANULARE:NU,ZRUŠIT: NE,DURDUR: HAYIR,POISTU: EI,ΑΚΥΡΩΣΗ:ΟΧΙ,,PREKINI: NE,PREKINI:NE,??????,PRZERWAC:TAK
21,STI_ABORT_YES,Abort the calibration process,1,12,ABORT: YES,ANNUL: JA,CANCELAR: SI,ANNULER: OUI,CAL.ANNULL.,AFBREKEN: JA,ANNULER.JA,ANNULERA:JA,中止: 是,PRZERWAC:NIE,中止:はい,취소: 예,ABORTAR: SIM,ZRUŠIŤ: ÁNO,ОТМЕНА: ДА,STOP:IGEN,,ANULARE:DA,ZRUŠIT: ANO,DURDUR: EVET,POISTU: OK,ΑΚΥΡΩΣΗ:ΝΑΙ,,PREKINI: DA,PREKINI:DA,??????,PRZERWAC:NIE
22,STI_ACTIVATION,Configure relay activation points,1,14,ACTIVATION,AKTIVIERUNG,ACTIVAR,CONFIGURATION,RELE' ATTIVATO,ACTIVEREN,AKTIVERING,AKTIVERING,激活,URUCHOMIENIE,稼働,활성화,ATIVA��O,AKTIVÁCIA,СРАБАТЫВ.,AKTÍVÀLÁS,,ACTIVARE,AKTIVACE,AKTİFLEŞTİR,AKTIVOINTI,ΕΝΕΡΓΟΠΟΙΗΣΗ,,AKTIVIRAJ,AKTIVIRAJ,??????,URUCHOMIENIE
23,STI_ACTIVE_OUTPUTS,Keep outputs active during calibration,1,15,ACTIVE OUTPUTS,AUSG MITLAUFEN,SALIDAS ACTIVA,SORTIES ACTIVE,USCITE ATTIVE,UITGANG ACTIEF,UDGANG AKTIV,UTG.AKTIVA,有源输出,WYJSCIA AKTYW.,アクティブ出力,출력활성화,SA�DAS ATIVAS,AKTIV. VÝSTUPY,ВЫХ. АКТИВ.,AKT.KIMENETEK,,IESIRI ACTIVE,AKTIV. VÝSTUPY,ÇIKIŞLAR AKTİF,ULOSTULOT AKT,ΕΝΕΡΓ. ΕΞΟΔΩΝ,,AKTIVNI IZL.,AKTIVNI IZHODI,??????,WYJSCIA AKTYW.
24,STI_ALARM,Set up the relay with high and low actiation points,1,12,ALARM,GRENZWERT,ALARMA,ALARME,ALLARME,ALARM,ALARM,LARM,报警,ALARM,アラーム,경보,ALARME,ALARM,ПРОСТ. РЕЛЕ,RIASZTÁS,,ALARMA,ALARM,ALARM,HÄLYTYS,ΣΥΝΑΓΕΡΜΟΣ,,ALARM,ALARM,??????,ALARM
25,STI_AMMONIA,Compensate measurement with ammonia table,1,14,AMMONIA,AMMONIAK,AMONIACO,AMMONIAQUE,AMMONIACA,AMMONIUM,AMONIAK,AMMONIAK,氨水,AMONIAK-KOMP,アンモニア,암모니아,AM�NIO,AMONIAK,АММОНИЙ,AMMÓNIA,,AMMONIU,AMONIAK,AMONYAK,AMMONIUM,ΑΜΜΩΝΙΑΣ,,AMONIJAK,AMONIJ,??????,AMONIAK-KOMP
26,STI_ANALYZER_FAIL,The analyzer is NOT operating normally.,1,18,ANALYZER FAIL,BETRIEB FEHLER,FALLO GENERAL,DEFAUT ANALYS.,LDO GUASTO,ANALYSERFOUT,ANALYSATR FEJL,INTERNT FEL,分析仪出错,BLAD ANALIZAT.,装置異常,분석기 고장,FALHA EQUIP.,ANALYZ.-CHYBA,ОШИБКА ПРИБОРА,ANALIZÁTORHIBA,,ANALIZOR EROAR,ANALYZER-CHYBA,ANALİZÖR HATA,LAITEVIKA,ΑΠΟΤΥΧΙΑ ΛΕΙΤ.,,GREŠKA,ANALIZ. NAPAKA,??????,BLAD ANALIZAT.
27,STI_ANALYZER_OK,Analyzer is oeprating normally,1,15,ANALYZER OK,BETRIEB NORMAL,ANALIZADOR OK,ANALYSEUR OK,LDO. OK,ANALYSER OK,ANALYSATOR OK,M�TARE OK,分析仪正常,ANALIZATOR OK,装置正常,분석기 정상,INSTRUMENTO OK,ANALYZ.-OK,ОШИБОК НЕТ,ANALIZÁTOR OK,,ANALIZOR OK,ANALYZER-OK,ANALİZÖR OK,LAITE OK,ΕΠΙΤΥΧΗΣ ΛΕΙΤ.,,U REDU,ANALIZ. V REDU,??????,ANALIZATOR OK
28,STI_ARROW,Right arrow.  DO NOT TRANSLATE.,0,1,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,??????,>
29,STI_A_MINUS_B,A minus B.  DO NOT TRANSLATE.,0,7,(A - B),(A - B),(A - B),(A - B),(A - B),(A - B),(A - B),(A - B),(A - B),(A - B),(A - B),(A - B),(A - B),(A - B),(A - B),(A - B),(A - B),(A - B),(A - B),(A - B),(A - B),(A - B),(A - B),(A - B),(A - B),??????,(A - B)
30,STI_A_OVER_B,A divided by B.  DO NOT TRANSLATE.,0,7,(A / B),(A / B),(A / B),(A / B),(A / B),(A / B),(A / B),(A / B),(A / B),(A / B),(A / B),(A / B),(A / B),(A / B),(A / B),(A / B),(A / B),(A / B),(A / B),(A / B),(A / B),(A / B),(A / B),(A / B),(A / B),??????,(A / B)
31,STI_B,The quantity B.  DO NOT TRANSLATE.,0,1,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,??????,B
32,STI_B_MINUS_A,B minus A.  DO NOT TRANSLATE.,0,7,(B - A),(B - A),(B - A),(B - A),(B - A),(B - A),(B - A),(B - A),(B - A),(B - A),(B - A),(B - A),(B - A),(B - A),(B - A),(B - A),(B - A),(B - A),(B - A),(B - A),(B - A),(B - A),(B - A),(B - A),(B - A),??????,(B - A)
33,STI_B_OVER_A,B divided by A.  DO NOT TRANSLATE.,0,7,(B / A),(B / A),(B / A),(B / A),(B / A),(B / A),(B / A),(B / A),(B / A),(B / A),(B / A),(B / A),(B / A),(B / A),(B / A),(B / A),(B / A),(B / A),(B / A),(B / A),(B / A),(B / A),(B / A),(B / A),(B / A),??????,(B / A)
34,STI_C,The quantity C.  DO NOT TRANSLATE.,0,1,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,??????,C
35,STI_CALC,Abreviation of calculated for main measure screen.,1,5,CALC,KALK,CALC,CALC,CALC,BER.,REGN,BER.,计算,KALK,換算,교정,CALC,KALK,РАСЧ,KALK,,CALC,KALK,HESA,LASK,ΥΠΟΛ,,KALK,RAČ,??????,KALK
36,STI_CALCULATED,Assign calcualted value to outputs or relays,1,14,CALCULATED,RECHENWERT,CALCULADO,VAL. CALCULEE,VAL.CALCOLATO,BEREKEND,BEREGNET,BER�KNAT,计算,PRZELICZONE,換算済み,교정됨,CALCULADA,VYPOČÍTANÉ,РАСЧ,SZÁMÍTOTT,,CALCULAT,KALKULOVÁNO,HESAPLANMIŞ D,LASKETUT,ΥΠΟΛΟΓΙΣΜΕΝΟ,,IZRAČUNATO,IZRAČ,??????,PRZELICZONE
37,STI_CALCULATION,Set up the calculation method,1,12,CALCULATION,KALKULATION,CALCULO,CALCUL,CALCOLO,BEREKENING,KALKULATION,BER�KNING,计算,PRZELICZANIE,換算,교정,CALCULAR,VÝPOČET,РАСЧЕТНОЕ,SZÁMÍTÁS,,CALCULARE,KALKULACE,HESAPLAMA,LASKENTA,ΥΠΟΛΟΓΙΣΜΟΣ,,RAČUNANJE,RAČUNANJE,??????,PRZELICZANIE
38,STI_CAL_EXIT,Exit the calibration process,1,15,CAL: EXIT,KAL ENDE,TERMINAR CAL,ETAL.: SORTIR,USCITADA CAL.,KAL.BEEINDIGD,KALIBR.SLUT,AVSLUTA KALIB.,校准: 退出,KALIB: WYJSCIE,校正:終了,교정: 나가기,CAL: SAIR,KALIBR: EXIT,ТИП РАСЧЕТА,SZÁMÍTÁS KILÉP,,CAL:IESIRE,KAL: EXIT,KAL: ÇIK,KAL POISTU,ΒΑΘΜΟΝ:ΕΞΟΔΟΣ,,KALIB. KRAJ,KONEC KAL,??????,KALIB: WYJSCIE
39,STI_OUTPUT_CAL,Calibrate one of the two current outputs,1,15,OUTPUT CAL,KAL AUSG�NGE,CALIBR SALIDAS,ETAL. SORTIES,CAL.USCITE,KAL.UITGANGEN,KALIB.UDGANGE,KALIB UTG�NGAR,输出校准,WYJSCIA:KALIB.,出力校正,출력 교정,CAL SA�DA AN,KALIBR:VÝSTUPU,КАЛИБР.: ВЫХ.,KIMENET KALIB.,,CAL IESIRE,KAL VYSTUPU,ÇIKIŞKALİBREET,KAL ULOSTULOT,ΕΞΟΔΟΙ ΒΑΘΜ.,,KALIB. IZL.,KAL IZHOD,??????,WYJSCIA:KALIB.
40,STI_CAL_OUTPUT_20MA,Calibrate the 20 milliamp point for output 1,1,14,CAL 20mA,KAL 20mA,CALIBRAR 20mA,ETALON. 20mA,CAL 20 mA,KAL 20mA,KAL 20mA,KALIBRERA.20mA,校准20mA,KALIB. 20mA,20mAを校正,교정 20mA,CAL 20mA,KALIBR 20mA,КАЛИБР. МА,20mA KALIBRÁL,,CAL 20mA,KAL 20mA,20ma KALİBREET,KAL 20 mA,ΒΑΘΜ. 20mA,,KALIB. 20mA,KAL 20mA,??????,KALIB. 20mA
41,STI_CAL_OUTPUT_4MA,Calibrat the 4 milliamp point for output 1,1,13,CAL 4mA,KAL 4mA,CALIBRAR 4mA,ETALON. 4mA,CAL 4 mA,KAL 4mA,KAL 4mA,KALIBRERA.4mA,校准4mA,KALIB.4mA,4mAを校正,교정 4mA,CAL 4mA,KALIBR 4mA,КАЛИБР. 20МА,4mA KALIBRÁL,,CAL 4mA,KAL 4mA,4ma KALİBREET,KAL 4 mA,ΒΑΘΜ 4mA,,KALIB. 4mA,KAL 4mA,??????,KALIB.4mA
42,STI_CAL_REPEAT,Repeat the calibration process,1,16,CAL: REPEAT,KAL WIEDERHOHL,REPETIR CAL,REPETER ETAL.,RIPETI CAL.,KAL.HERHALING,KALIBR.GENTAG,REPETERA KALIB,校准: 重复,POWTORZ KALIB.,校正:繰り返し,교정: 반복,CAL: REPETIR,KALIBR:OPAKOV.,КАЛИБР. 4МА,KAL: ISMÉTLÉS,,CAL: REPETARE,KAL: OPAKOVAT,KAL TEKRAR ET,TOISTA KAL,ΕΠΑΝΑΛΗΨΗ ΒΑΘΜ,,KALIB. PONOVI,PONOVI KALIB,??????,POWTORZ KALIB.
43,STI_CELL_CONSTANT,Configure the cell constant parameters,1,15,CELL CONSTANT,ZELL-KONSTANTE,CONSTANTECELDA,CONST. CELLUL.,COST. CELLA,CELCONSTANTE,CELLE KONSTANT,CELLKONSTANT,电极常数,STALA,セル定数,셀  상수,CONSTANTE C�L.,KONŠTANTA CELY,КАЛИБР: ПОВТ.,CELLAÁLLANDÓ,,CONST CELULA,KONSTANTA CELY,HÜCRE SABİTİ,KENNOVAKIO,ΣΤΑΘΕΡ. ΚΕΛΙΟΥ,,KONST. ĆELIJE,KONST CELICE,??????,STALA
44,STI_CF_CONC,Configure concentration measurement,1,15,CONFIG CONC,KONZ KONFIG,CONFIGURA CONC,CONFIG CONCENT,CONF. CONC,CONC.CONFIG,KONFIG.KONC.,ST�LL IN KONC.,组态浓度,KONFIG.STEZ.,濃度測定の設定,농도설정,CFG CONC,KONFIG. KONC.,КОНСТ. ЯЧЕЙКИ,KONC.BEÁLLÍTÁS,,CONFIG CONC,KONFIG KONC,KONFİG KONS,KONS ASETUS,ΔΙΑΜ.ΣΥΓΚΕΝΤΡ.,,KONF. KONC.,NASTAVI KONC,??????,KONFIG.STEZ.
45,STI_CF_CONC_FORMAT,Set up the format of the concentration units of measure,1,16,CONC FORMAT,KONZ FORMAT,FORMATO UNIDAD,UNITES CONC.,UNITA CONC,CONC EENHEID,KONC FORMAT,ST�LL IN ENHET,浓度格式,JEDNOSTKA POM.,濃度単位,농도 포맷,UNIDADE CONC,KONFIG.FORMÁT,НАСТР. КОНЦ.,KONC. FORMÁTUM,,FORMAT CONC,KONC FORMAT,KONS FORMATI,KONS YKS,ΜΟΡΦΗ ΣΥΓΚΕΝ.,,FORMAT KONC.,NASTAVI FORMAT,??????,JEDNOSTKA POM.
46,STI_CF_COND,Configure the conductivity measurement,1,15,CONFIG CONDUCT,LEITF�H KONFIG,CONF. CONDUCT,CONFIG CONDUCT,CONF. CONDUTT,GELEIDB.CONF.,KONFIG.LEDN.,ST�LL IN KOND,组态电导率,PRZEWODNICTWO,伝導率の設定,전도도설정,CFG CONDUT,KONFIG.VODIV.,ЕДИН. КОНЦ.,VEZKÉP BEÁLLÍT,,CONFIG CONDUCT,KONFIG KONDUKT,KONFİG İLETKEN,JOHTOK ASETUS,ΔΙΑΜ. ΑΓΩΓΙΜ,,KONF. KONDKT.,NASTAVI PREVOD,??????,PRZEWODNICTWO
47,STI_CF_COND_FORMAT,Set up the format of the conductivity units of measure,1,16,COND FORMAT,LEITF�H FORMAT,UNIDAD DE COND,UNITES COND.,UNITA COND,COND. EENHEID,KOND FORMAT,ENHET KOND.,电导率格式,JEDN. PRZEWOD.,電気伝導率単位,전도도포맷,UNIDADE CONDUT,KONFIG.FORMÁT,НАСТР. ПРОВОД.,VEZKÉP EGYSÉG,,FORMAT COND,KONDUKT FORMAT,İLET FORMAT,JOHTOK YKS,ΜΟΡΦΗ ΑΓΩΓΙΜ.,,FORMAT KONDUKT,FORMAT PREVOD,??????,JEDN. PRZEWOD.
48,STI_CF_RESIST,Configure the resistivity measurement,1,14,CONFIG RESIST,WDSTND KONFIG,CONF. RESISTIV,CONFIG RESIST,CONF. RESIST,CONF.WEERST.,KONFIG.MODST.,V�LJ RESIST.,组态电阻率,KONFIG.OPOR,抵抗率の設定,저항설정,CFG RESIST,KONFIG ODPOR,ЕДИН. ПРОВОД,ELLENÁLL BEÁLL,,CONFIG REZIST,KONFIG RESIST,DİRENÇ KONFİG,RESIST ASETUS,ΔΙΑΜ.ΕΙΔ.ΑΝΤΙΣ,,KONF. OTPOR,NASTAVI REZIST,??????,KONFIG.OPOR
49,STI_CF_TC_AMMONIA,Configure the ammonia parameters,1,16,CONFIG AMMONIA,AMMONIAK KFG,CONF AMONIACO,CONFIG AMMONIA,CONF.AMMONIA,AMMONIAK CONF.,KONF.AMONIAK,V�LJ AMMONIAK,组态氨水,KONFIG.AMONIAK,アンモニア設定,암모니아설정,CFG AM�NIO,KONFIG.AMONIAK,НАСТР. СОПРОТ.,AMMÓNIA BEÁLL,,CONFIG AMONIU,KONFIG AMMONIA,AMONYAK KONFİG,AMMON ASETUS,ΔΙΑΜ.ΑΜΜΩΝ.,,KONF. AMONIJAK,NASTAVI AMONIJ,??????,KONFIG.AMONIAK
50,STI_CF_TC_LINEAR,Configure the slope and offset for linear compensation,1,14,CONFIG LINEAR,LINEARPMTR KFG,CONF LINEAL,CONF. LINEAIRE,CONF. LINEARE,CONFIG LINEAIR,KONFIG.LIN.,ST�LL LINEARI.,组态线性,KONFIG.LINIOWA,線形補償の設定,선형설정,CFG LINEAR,KONFIG LINEAR,НАСТР. NH4,LINEÁRIS BEÁLL,,CONFIG LINEARA,KONFIG LINEAR,LİNEER KONFİG,LINEAR ASETUS,ΓΡΑΜΜΙΚΗ ΔΙΑΜ.,,KONF. LINEAR.,NASTAVI LINEAR,??????,KONFIG.LINIOWA
51,STI_CF_TC_NONE,Configure the No compensation parameters,1,15,CONFIG NO COMP,KEINE KOMP KFG,CONF NO COMPEN,CONF. PAS COMP,CONF.NO.COMP.,CONFIG GN COMP,KONF.ING.KOMP.,V�LJ EJ KOMP.,组态无补偿,KONF: BEZ KOMP,無補償の設定,무보상설정,CFG S/ COMP,NEKONFIG KOMP,НАСТР. ЛИНЕЙН.,NINCS KOMPENZ.,,CONFIG F.COMP,KONFIG NE KOMP,KOMP KONF ETME,EI KOMP ASETUS,ΔΙΑΜ.ΧΩΡΙΣ ΑΝΤ,,KONF.BEZ KOMP.,NAST BREZ KOMP,??????,KONF: BEZ KOMP
52,STI_CF_TC_NWATER,Configure the natural water parameters,1,16,CONFIG N'WATER,WASSER KONFIG,CONF. AGUA NAT,CONF. EAU NAT.,CONF.ACQ.NAT.,CONFIG OPP.WATER,KONF.ALM.VAND,V�LJ VATTEN,组态纯水,KONFIG.WODY P,自然水の設定,무수설정,CFG H2O NAT,KONFIG VODU,НАСТР. НЕКОМП.,KONFIG.T'VÍZRE,,CONFIG APA NAT,KONF NORM VODA,DOĞAL SU KONF,L VESI ASETUS,ΔΙΑΜ.ΠΑΡΑΜ ΝΕΡ,,KONF. N.VODA,NAST PAR VODE,??????,KONFIG.WODY P
53,STI_CF_TC_UDT,Configure the user table parameters,1,14,CONFIG T-TABLE,TABELLEN KFG,CONF. LISTA,CONFIG. TABLE,CONF. TABELLA,CONFIG T-TABEL,KONFIG TABEL,L�GG IN TABELL,组态温度表格,KONFIG. TABELA,Tテーブル設定,온도테이블설정,CFG TAB-USU,KONFIG UZIVPAR,НАСТР. ПР.ВОД.,KONFIG. TÁBL.,,CONFIG T-TABEL,KONF T-TABLE,KONFİG T-TABLO,T TAUL ASETUS,ΔΙΑΜ.ΠΙΝΑΚ ΠΑΡ,,KONF. P-TABELU,NAST T TABELO,??????,KONFIG. TABELA
54,STI_CF_TDS,Configure the total disolved solids measurement,1,14,CONFIG TDS,GEL FESTST KFG,CONF. TDS,CONFIG. TDS,CONF. TDS,CONFIG TDS,KONFIG TDS,ST�LL IN TDS,组态TDS,KONFIG S.ROZP.,TDSの設定,TDS설정,CFG TDS,KONFIG RL,НАСТР. Т-ТАБЛ.,KONFIG. TDS,,CONFIG STD,KONFIG TDS,KONFİG TDS,TDS ASETUS,ΔΙΑΜΟΡ. TDS,,KONF. TDS,NASTAVI TDS,??????,KONFIG S.ROZP.
55,STI_CF_TEMP_COMP,Configure the selected temperature compensation method,1,15,CONFIG T-COMP,T-KOMP KFG,CONF COMP T�,CONFIG. T-COMP,CONF.T-COMP.,CONFIG T-COMP,KONF.T-KOMP.,V�LJ TEMP-KOMP,组态温度补偿,KONFIG.KONPEN.,温度補償の設定,온도보상설정,CFG T-COMP,KONFIG T-KOMP,НАСТР.СОЛЕСОД,KONFIG. T KOMP,,CONFIG COMP-T,KONF T-KOMPENZ,KONFİG T-KOMP,T KOMP ASETUS,ΔΙΑΜ.ΘΕΡ.ΑΝΤΙΣ,,KONF. T KOMP.,NASTVI T KOMP,??????,KONFIG.KONPEN.
56,STI_CHECK_CAL_HOLD,In Turbidity: check the calibration with a cube and keep outputs in hold.,1,15,CHECK CAL/HOLD,AUSG HALTEN?,ENCLAVA/CAL CK,TEST ETAL/MEMO,TEST.CAL/HOLD,CONTR. KAL/HOLD,TJEK KAL/PAUSE,KONTR.KAL/L�ST,检查校准/保持,SPR.KAL./STOP,校正/保持確認,교정/중지 확인,VERIF CAL/FIXA,OVER KALIBR,НАСТР. Т-КОМП.,KALIB.ELLENÖRZ,,VERIF.CAL/PAST,OVĔŘ KALIBR,KONT KAL/TUT,TARK KAL,ΕΛΕΓΧΟΣ ΒΑΘΜ.,,PROV.KALIBR.,KAL/ZADRŽI?,??????,SPR.KAL./STOP
57,STI_CHECK_STATUS,Check the status menu for possible faults.,1,15,CHECK STATUS,STATUS KONTR,VERIFIQUE MENU,VERIFIEZ ETAT,VERIF.STATO,STATUSCONTR.,TJEK STATUS,KONTR.STATUS,检查状态,SPRAWDZ STAN,ステータス確認,상태확인,VERIF STATUS,OVER STAV,ПРОВ.КАЛ/ФИКС,ÁLLAP.ELLENÖRZ,,VERIF.MENIU,OVĔŘ STATUS,DURUMU KONT ET,TARK TILA,ΕΛΕΓΧΟΣ ΚΑΤΑΣ.,,PROV.STATUS,PREVERI STATUS,??????,SPRAWDZ STAN
